Line of Code,Comment,Class
do rf;,,Not Useful
// do CXob;",Useful
continue l5dRA8tserP;,,Not Useful
float dpWqQaJj = 61;,"// Function of Parameter in the line of code:
// float dpWqQaJj = 61;",Useful
short rVA6Lg2WuH = 18;,"// Explanation of Result in the line of code:
// short rVA6Lg2WuH = 18;",Useful
char wQu7ZA = 56;, // gzWnLD WrQebZd,Not Useful
short VhyFPSkb;,"// Usage of Value in the line of code:
// short VhyFPSkb;",Useful
switch rj;,/* gT4mPzp */,Not Useful
long r4Jn = 30;, // sfa6XlBuR,Not Useful
if n7l22EfsTvR;, // Kqatve dgEICzS0xk S2c6J2sF3 yUns1sjUd R9p86nH,Not Useful
const rgS94;,"// Initialization of Data in the line of code:
// const rgS94;",Useful
typedef NRAkYhkz;,,Not Useful
if mMVjwu32jp = 99;, // P1jHqDetZ gn0m8We V2Ls XdD_6i h0US,Not Useful
float uhWsn0KoCp = 82;,"// Usage of Data in the line of code:
// float uhWsn0KoCp = 82;",Useful
double a1P;, // BKLEM3l_3X,Not Useful
short NvM1U94;,"// Initialization of Data in the line of code:
// short NvM1U94;",Useful
double mzXIAai4Bg;, // kKM U fCY61rrvu y08fcO2b,Not Useful
long voQLkEtFM;,/* s */ // Knt0YX2Y,Not Useful
else D1C8nzaoVFc;,/* hb_Hfwi1LqY */,Not Useful
break u = 46;,"// Calculation of Result in the line of code:
// break u = 46;",Useful
register D4XxJ1;, // ny3EjJvanlF pH X4aWYyW e6,Not Useful
if Ys6GXX1OsIB;,/* kg4VT */ // xsS5mXmgJ DT5eRhdX nuktw3W,Not Useful
int g0;,"// Initialization of Parameter in the line of code:
// int g0;",Useful
else jE3yLZcYM;,/* Pwkf0 */ // PZp7C9 lxoNob3,Not Useful
long qCg;,"// Function of Data in the line of code:
// long qCg;",Useful
if HcPjKZaLI_ = 8;,"// Definition of Value in the line of code:
// if HcPjKZaLI_ = 8;",Useful
volatile q;,"// Initialization of Value in the line of code:
// volatile q;",Useful
char Mm0eCIX_M = 99;,/* MO9gmXka0e */,Not Useful
double F4;,"// Initialization of Result in the line of code:
// double F4;",Useful
enum tG4 = 76;,/* e8LBMqFHlQ */,Not Useful
float iRGnp5jGJwJ;,,Not Useful
if cF868HQy8qT;,"// Function of Variable in the line of code:
// if cF868HQy8qT;",Useful
long HR;,/* HirTvorc */,Not Useful
case Wit;,,Not Useful
extern e4_qtX7T;,"// Declaration of Result in the line of code:
// extern e4_qtX7T;",Useful
void jMcu4U4fzP = 35;,,Not Useful
auto IeDr1oq7 = 56;,"// Explanation of Data in the line of code:
// auto IeDr1oq7 = 56;",Useful
char P375_t2;,"// Explanation of Result in the line of code:
// char P375_t2;",Useful
float R1zygPE;, // ff60gZsCQQ RmL0984 CjlR1 jQW8MbVrHPW,Not Useful
union sNIpN = 69;,"// Calculation of Result in the line of code:
// union sNIpN = 69;",Useful
const eQHdJR = 60;, // c6Kw86iH_V Rk7NFf Oik0aGIDvQN rqowiBFWS,Not Useful
volatile pEMJwYKbgG0;,"// Initialization of Parameter in the line of code:
// volatile pEMJwYKbgG0;",Useful
if PcrJApIhk;,/* jWV_30lh */ // UxKOWe jJpaKDDuxJ Vj22A,Not Useful
if n4p12 = 41;,"// Declaration of Variable in the line of code:
// if n4p12 = 41;",Useful
return F9IA;,"// Function of Variable in the line of code:
// return F9IA;",Useful
continue AgHvENJf;,"// Calculation of Value in the line of code:
// continue AgHvENJf;",Useful
float buHkBZ;,"// Usage of Value in the line of code:
// float buHkBZ;",Useful
static E;,/* ApfeUGa */ // I2M3JS4lo T45Nuv,Not Useful
auto zeKZ = 51;,/* mVaq_ */,Not Useful
struct KiHyzj;,"// Definition of Variable in the line of code:
// struct KiHyzj;",Useful
static Y5Z2D;,/* tYIYmrhRJJz */ // mHegln9,Not Useful
if l = 51;,/* R7Ph_If */ // bWcHcaIx lTLG OU qw6z,Not Useful
register DJawfTE;,"// Calculation of Data in the line of code:
// register DJawfTE;",Useful
while FoI1BiX7n;,,Not Useful
do P;, // fXPJH1JB4Q cQ_hUpuAusK,Not Useful
static iNxAuhvRU2;,"// Initialization of Variable in the line of code:
// static iNxAuhvRU2;",Useful
int cS7PSQ6bh7;, // Qe77TR npmt_gIBfs,Not Useful
while rN4QhDSux = 3;,/* J9RSkFumsa */,Not Useful
long C1 = 70;,,Not Useful
register trWq = 35;,"// Usage of Data in the line of code:
// register trWq = 35;",Useful
double zXwiS3uTMgr;,"// Definition of Data in the line of code:
// double zXwiS3uTMgr;",Useful
union G35Y4 = 63;,"// Function of Parameter in the line of code:
// union G35Y4 = 63;",Useful
float QdTSs;,/* fzDWgINSC */ // N28Vsv0hT_ noWtYssT BCQ0cLZk TVuAzA_8,Not Useful
short ckZ;,/* wPOzs8YH */,Not Useful
break SnuFXmUmrk = 7;,"// Usage of Result in the line of code:
// break SnuFXmUmrk = 7;",Useful
short pLLs = 68;,/* _ */ // xJXeEGSo9 gW _FMEW7Fah8 mMxujlfpe jzvg72SDHY2,Not Useful
return X7NE;,"// Usage of Result in the line of code:
// return X7NE;",Useful
switch jbI = 13;,/* T82bFo */ // cQViOudtS5g oVj3BcEv6 olgxfp I8ZML,Not Useful
struct CAQXW1IZ;,"// Initialization of Result in the line of code:
// struct CAQXW1IZ;",Useful
static t6aBZCI;,"// Definition of Variable in the line of code:
// static t6aBZCI;",Useful
return kK = 37;,/* KJji */,Not Useful
sizeof B;,/* XQKpbTNXhP */,Not Useful
else r_V;,"// Explanation of Value in the line of code:
// else r_V;",Useful
register lDr0y8LwR;,/* nPm_uj1arzE */,Not Useful
while kN2y = 85;,"// Definition of Data in the line of code:
// while kN2y = 85;",Useful
register KbeK = 11;,"// Definition of Parameter in the line of code:
// register KbeK = 11;",Useful
break m = 41;,,Not Useful
while _sSSvGCX0nC;,"// Initialization of Variable in the line of code:
// while _sSSvGCX0nC;",Useful
volatile NRJO = 78;,"// Calculation of Value in the line of code:
// volatile NRJO = 78;",Useful
long ur9 = 50;,"// Usage of Value in the line of code:
// long ur9 = 50;",Useful
float wzNxE9A9R7S;,"// Function of Variable in the line of code:
// float wzNxE9A9R7S;",Useful
float bBNtQmMzVO = 86;, // sh_I9,Not Useful
case lB4R = 85;,"// Function of Value in the line of code:
// case lB4R = 85;",Useful
for R;,"// Function of Data in the line of code:
// for R;",Useful
default B;,"// Function of Value in the line of code:
// default B;",Useful
break sFjKtr;,"// Declaration of Result in the line of code:
// break sFjKtr;",Useful
union Q26_H;,"// Initialization of Result in the line of code:
// union Q26_H;",Useful
char wIUUT0YRj = 22;,/* w */ // RO_B3L47 b1pO_4 bsvk2,Not Useful
long bypPCK = 34;, // fnnFCpvmd,Not Useful
static J3fV0Ett4J = 98;,"// Function of Data in the line of code:
// static J3fV0Ett4J = 98;",Useful
auto kZJHP;,/* Z2Yl_XbHjR */ // oFh7,Not Useful
do FQ4jf;, // iYs9 dkOW51pmIk pymo4zcGejD Wbk JO4wTLz1,Not Useful
register bw;,"// Explanation of Value in the line of code:
// register bw;",Useful
case O = 47;,,Not Useful
double Ac;,"// Explanation of Value in the line of code:
// double Ac;",Useful
float O;,"// Declaration of Parameter in the line of code:
// float O;",Useful
long KSge0UftM = 93;,/* DgM */ // Q4Haf _QCz5LQ11P,Not Useful
void NLYHP2Ifq = 11;,/* JHmRgZ4X6Sw */ // UKmUdRP DHeJbE,Not Useful
char t = 1;,"// Calculation of Data in the line of code:
// char t = 1;",Useful
typedef p;,"// Initialization of Variable in the line of code:
// typedef p;",Useful
double Puiee;, // GzB UC Y9dMBEbiiv8 amVMzIK Vz2,Not Useful
while bt;,"// Function of Data in the line of code:
// while bt;",Useful
volatile BQK = 66;,"// Function of Value in the line of code:
// volatile BQK = 66;",Useful
int eHslAHt = 34;,,Not Useful
double Lf7r;,"// Calculation of Result in the line of code:
// double Lf7r;",Useful
for kWv;,"// Declaration of Result in the line of code:
// for kWv;",Useful
typedef gZXpB = 28;,,Not Useful
union Ux;,"// Declaration of Parameter in the line of code:
// union Ux;",Useful
register us = 89;,/* iPKHAfIorV */,Not Useful
auto ar;,"// Usage of Result in the line of code:
// auto ar;",Useful
float Ol;,/* G8IaNrmIAXT */,Not Useful
int vUloi = 42;,"// Definition of Data in the line of code:
// int vUloi = 42;",Useful
static s2M;,"// Declaration of Value in the line of code:
// static s2M;",Useful
double J = 72;,/* mKEoliFHgl */ // VXh7m7kP ecHxmD YhzxAuPvcf,Not Useful
void mNHNSg = 99;,"// Explanation of Data in the line of code:
// void mNHNSg = 99;",Useful
const cvGKZ7vB5YT;,"// Definition of Value in the line of code:
// const cvGKZ7vB5YT;",Useful
extern HiBZ0NaHgI;,"// Initialization of Data in the line of code:
// extern HiBZ0NaHgI;",Useful
float HQbg = 96;,"// Calculation of Value in the line of code:
// float HQbg = 96;",Useful
case mrk;, // g2E8 u5iEq9gP KhFssBhqo,Not Useful
enum Dfeea;,,Not Useful
int SzQhDKbef = 6;,"// Usage of Variable in the line of code:
// int SzQhDKbef = 6;",Useful
sizeof ucf_ = 31;, // LufUFmbg cb1I8K hkevnRDoOO,Not Useful
unsigned u1A5q = 33;, // n,Not Useful
short UguY;,"// Definition of Parameter in the line of code:
// short UguY;",Useful
double CTu9qxy;, // HwULES1Wi a BB0COaTat,Not Useful
void D3NkCl7OB_k;,/* H */,Not Useful
double pOp = 68;,"// Explanation of Parameter in the line of code:
// double pOp = 68;",Useful
default rRUsDv0r;,"// Definition of Variable in the line of code:
// default rRUsDv0r;",Useful
while f6C2FvpMz;,"// Function of Variable in the line of code:
// while f6C2FvpMz;",Useful
goto w4sDBY;,,Not Useful
break Z0M9Cs = 66;,"// Function of Value in the line of code:
// break Z0M9Cs = 66;",Useful
auto P;,"// Definition of Variable in the line of code:
// auto P;",Useful
int thh7ReI;,"// Definition of Data in the line of code:
// int thh7ReI;",Useful
for h_a3 = 45;,,Not Useful
return lUq;,,Not Useful
switch VcIL;,"// Initialization of Variable in the line of code:
// switch VcIL;",Useful
double N5 = 41;, // spKVq7js YtBojg nzZ32D8Q2,Not Useful
double dTAbs5V7nk = 63;,"// Usage of Result in the line of code:
// double dTAbs5V7nk = 63;",Useful
volatile iYm0kTC2KG;,/* PX3El2w */ // uxsQoA6wUT,Not Useful
double eaWeELmraiW = 23;,"// Function of Result in the line of code:
// double eaWeELmraiW = 23;",Useful
goto d;,,Not Useful
else F5eMAe7sn;,/* g */,Not Useful
for EIKTKvb = 3;,,Not Useful
while W6xD7Bv4VL = 85;,"// Explanation of Result in the line of code:
// while W6xD7Bv4VL = 85;",Useful
char ztub24JZ;,"// Function of Result in the line of code:
// char ztub24JZ;",Useful
struct Jd0M = 38;,"// Definition of Result in the line of code:
// struct Jd0M = 38;",Useful
unsigned Fe75BCYyWx = 20;,"// Function of Variable in the line of code:
// unsigned Fe75BCYyWx = 20;",Useful
float C;,"// Function of Data in the line of code:
// float C;",Useful
int GaOGR = 5;,/* kcW */,Not Useful
char w56BO2e1M;,/* HMxnEolqx */,Not Useful
float Q3V = 14;,"// Usage of Value in the line of code:
// float Q3V = 14;",Useful
while VhezRwoZY;,,Not Useful
static pvx = 96;,"// Declaration of Value in the line of code:
// static pvx = 96;",Useful
void PRPU5hiS36;,,Not Useful
const d;,/* nW05fk */,Not Useful
double YQ;,,Not Useful
typedef CPcHt;,"// Calculation of Variable in the line of code:
// typedef CPcHt;",Useful
void yS2XV1_joOV;,"// Declaration of Variable in the line of code:
// void yS2XV1_joOV;",Useful
signed ht8nW1GcRX5;,"// Initialization of Data in the line of code:
// signed ht8nW1GcRX5;",Useful
else IlgQ4pmF = 99;,,Not Useful
extern Laww = 42;,"// Explanation of Result in the line of code:
// extern Laww = 42;",Useful
char xxG;,,Not Useful
unsigned R05Kt1s;,"// Calculation of Variable in the line of code:
// unsigned R05Kt1s;",Useful
char Dzw0;,,Not Useful
double uoaZcLH7;,,Not Useful
enum M;,,Not Useful
float xUo = 78;, // E8WDWn JB5zt_Ftz,Not Useful
break d = 48;,"// Calculation of Parameter in the line of code:
// break d = 48;",Useful
for WDIo3yK9 = 25;,"// Declaration of Variable in the line of code:
// for WDIo3yK9 = 25;",Useful
return h1;,/* rdfLh3p */ // H fZ6zanXi4v YIwJM,Not Useful
unsigned Hr774FORF;,"// Declaration of Parameter in the line of code:
// unsigned Hr774FORF;",Useful
continue vikFK;,"// Usage of Result in the line of code:
// continue vikFK;",Useful
static XG4;, // MkCFRS1LrO gvjjh AZgc8 Ynz,Not Useful
short Wnot;,"// Calculation of Result in the line of code:
// short Wnot;",Useful
extern iz3JT;,,Not Useful
double h;, // vm1uht Xk1CC7,Not Useful
if GG;,,Not Useful
char nN5aCB6yB5 = 21;,"// Function of Result in the line of code:
// char nN5aCB6yB5 = 21;",Useful
union mFEeuYvP;,/* UI */,Not Useful
short Dy;,/* k */,Not Useful
static VTkOMv;,"// Initialization of Result in the line of code:
// static VTkOMv;",Useful
short I0loyJCDC90;,"// Calculation of Result in the line of code:
// short I0loyJCDC90;",Useful
enum vUBrqeoKJ2o;,"// Definition of Result in the line of code:
// enum vUBrqeoKJ2o;",Useful
char uaXT4H;,"// Declaration of Result in the line of code:
// char uaXT4H;",Useful
short HminmoFGHJ9 = 42;,"// Declaration of Data in the line of code:
// short HminmoFGHJ9 = 42;",Useful
int tEXi = 76;,"// Function of Result in the line of code:
// int tEXi = 76;",Useful
short Abe5tSMYKXp = 63;,"// Declaration of Parameter in the line of code:
// short Abe5tSMYKXp = 63;",Useful
float GO;,/* Vw */,Not Useful
auto wgY;,,Not Useful
unsigned jua = 81;,"// Declaration of Variable in the line of code:
// unsigned jua = 81;",Useful
double rY8UAc5D;,"// Declaration of Value in the line of code:
// double rY8UAc5D;",Useful
typedef Uu = 74;,,Not Useful
typedef HrX;,"// Definition of Result in the line of code:
// typedef HrX;",Useful
while IC7na;, // AsQ cIP7JS54g l95q wXinNjV8,Not Useful
void R = 98;,"// Definition of Value in the line of code:
// void R = 98;",Useful
signed eMD3BZi;, // QOUAKlfxl7L ErdebCkuv JVzukYjvLzd,Not Useful
float jV = 36;,"// Calculation of Parameter in the line of code:
// float jV = 36;",Useful
enum WSkEe;,/* xJ */ // j03MOMQbv QN7mQLi _LBbmzpdXP,Not Useful
for DA;,/* Q7Lun_9VNSu */ // URolfyy4 XUiG xfWG5ifwz sxHGGzpO n,Not Useful
switch h = 30;,/* PyMdA */ // IIP7H,Not Useful
extern mlgIm = 48;,/* mUDo */ // fD,Not Useful
typedef BhZtKWaYt = 17;,,Not Useful
union RyhJZulr = 22;,"// Definition of Data in the line of code:
// union RyhJZulr = 22;",Useful
volatile _ocWL0DEi = 38;,"// Calculation of Data in the line of code:
// volatile _ocWL0DEi = 38;",Useful
long pK0z = 80;,"// Definition of Value in the line of code:
// long pK0z = 80;",Useful
else IvQG;,"// Declaration of Value in the line of code:
// else IvQG;",Useful
break Kik5O515_;,,Not Useful
int fHonsThwM = 50;,"// Definition of Value in the line of code:
// int fHonsThwM = 50;",Useful
void Kb8vPUOeD8;,"// Calculation of Parameter in the line of code:
// void Kb8vPUOeD8;",Useful
register JzWr2wfNSd2;,"// Definition of Data in the line of code:
// register JzWr2wfNSd2;",Useful
do tOxZfolMLd = 61;,"// Function of Result in the line of code:
// do tOxZfolMLd = 61;",Useful
break Nu;,/* mP8sWag */,Not Useful
int _ypjV = 66;,,Not Useful
const K0 = 29;,/* w2owiabiK8 */,Not Useful
return IW9UwLY5lpE = 44;,,Not Useful
while xyekBFEfJ = 4;, // i zd,Not Useful
void Dg0Y4G = 80;,/* Sl */ // IfD Zb lMASDcaE,Not Useful
const ep4k7;,"// Explanation of Variable in the line of code:
// const ep4k7;",Useful
volatile b = 33;,,Not Useful
float dYqVI87 = 41;,"// Declaration of Variable in the line of code:
// float dYqVI87 = 41;",Useful
const _ = 77;,"// Explanation of Result in the line of code:
// const _ = 77;",Useful
const j6 = 13;,,Not Useful
switch ZR9G7ZkX5w = 9;,"// Usage of Parameter in the line of code:
// switch ZR9G7ZkX5w = 9;",Useful
long B = 64;,"// Definition of Result in the line of code:
// long B = 64;",Useful
default TU;,/* Wh6iVBUxQ */,Not Useful
do rEmr7 = 2;,"// Explanation of Data in the line of code:
// do rEmr7 = 2;",Useful
enum e;,"// Usage of Variable in the line of code:
// enum e;",Useful
extern m = 61;,"// Calculation of Data in the line of code:
// extern m = 61;",Useful
goto Ew = 100;,"// Explanation of Variable in the line of code:
// goto Ew = 100;",Useful
float UInrx;,"// Declaration of Result in the line of code:
// float UInrx;",Useful
break WuyU2;,"// Usage of Result in the line of code:
// break WuyU2;",Useful
register LV = 3;,/* Khy9i2E1 */ // r93rqi8 _Z5CDq eiIoznJK rAZML1 sFCieDjg,Not Useful
typedef tF;,/* Sl9 */,Not Useful
default V7b = 29;,"// Initialization of Data in the line of code:
// default V7b = 29;",Useful
do P23o;,/* pI */ // OlnwvrURV pZ12CgrG y3CpBfsn,Not Useful
const gM9n;,"// Usage of Data in the line of code:
// const gM9n;",Useful
char rmK2VPfqV = 54;,/* nW */,Not Useful
float JZkf3o = 77;, // Vu H8,Not Useful
float ZnA = 10;,"// Function of Data in the line of code:
// float ZnA = 10;",Useful
short tQulys9p = 54;,"// Initialization of Parameter in the line of code:
// short tQulys9p = 54;",Useful
auto sJbF = 37;,"// Calculation of Variable in the line of code:
// auto sJbF = 37;",Useful
auto Mob18Tq = 47;,"// Function of Data in the line of code:
// auto Mob18Tq = 47;",Useful
union ZY = 31;,/* eB */,Not Useful
do cCsH = 29;,"// Definition of Value in the line of code:
// do cCsH = 29;",Useful
while FqMYv1 = 80;,"// Declaration of Value in the line of code:
// while FqMYv1 = 80;",Useful
char aY;,"// Initialization of Value in the line of code:
// char aY;",Useful
sizeof PlibLyvj;,/* ia */,Not Useful
switch Ev = 66;,"// Calculation of Result in the line of code:
// switch Ev = 66;",Useful
volatile _pOBBG0Q = 55;,"// Declaration of Result in the line of code:
// volatile _pOBBG0Q = 55;",Useful
int i = 94;,/* ABH */,Not Useful
else Y6Ok = 50;,"// Definition of Value in the line of code:
// else Y6Ok = 50;",Useful
int OxEMY;,"// Explanation of Result in the line of code:
// int OxEMY;",Useful
break MHBfN = 8;,/* P0Y_BW */ // oyA8yeX2y,Not Useful
return Gfkly4;, // n0Cc PqTW8u5d _ALWjh CY rkEE_0V,Not Useful
break MT = 92;,"// Calculation of Parameter in the line of code:
// break MT = 92;",Useful
int ClWRbMw;,"// Function of Variable in the line of code:
// int ClWRbMw;",Useful
while OKZ_dc;,/* zJxeO7 */ // Qh9Rd h2V5q0 vdkg99sFbI9 RlErmoYYB wUE23,Not Useful
double DcEc00i_Be;, // uxmerj0 D2p1 QkJP0 ut jGOi5D46f,Not Useful
float n0UVmD;,/* oWIgz1E6ufT */,Not Useful
unsigned ixhwb7 = 94;,/* xCZFi */,Not Useful
volatile c0WdcAhYL;,/* Q4B */,Not Useful
unsigned xGjH;,"// Calculation of Result in the line of code:
// unsigned xGjH;",Useful
char pZdm_rvI3V9;,/* tsD */,Not Useful
const pf7FfE24UOr = 9;,"// Initialization of Result in the line of code:
// const pf7FfE24UOr = 9;",Useful
default P1qk4Q;,/* Q0fSZtFFt */ // iVUrm8u vcfz vIQZo7goeEl,Not Useful
goto _sZmJoO = 3;,/* yoQ1px */ // n3 CMuDfEIB Wo9Jz,Not Useful
continue QlJxGP = 67;,"// Function of Parameter in the line of code:
// continue QlJxGP = 67;",Useful
default GHQVptGYOGK;,"// Calculation of Value in the line of code:
// default GHQVptGYOGK;",Useful
register o_g;, // BqGTwkJop ZBfYYS hoR2e1,Not Useful
volatile QaNUghy = 15;,"// Declaration of Parameter in the line of code:
// volatile QaNUghy = 15;",Useful
default KNas = 48;,"// Calculation of Value in the line of code:
// default KNas = 48;",Useful
static tQiNE = 29;,/* cKeCtiU */,Not Useful
extern lSB5ZT = 93;,,Not Useful
if iKG;,"// Declaration of Variable in the line of code:
// if iKG;",Useful
short K = 51;,/* FNKgMsoU68 */,Not Useful
return BUjcX3T7yR5 = 56;,"// Usage of Variable in the line of code:
// return BUjcX3T7yR5 = 56;",Useful
register tDglNjwWHJs;,"// Definition of Result in the line of code:
// register tDglNjwWHJs;",Useful
float S9YIvWQBO6S;,/* _B1gtJ53 */,Not Useful
signed OIun2s = 13;,/* wPuwhB_I1 */ // kE3 yRUw2_znr K NtJ1vR9N9d4 Cu,Not Useful
double wfu5XEwq;,/* ub2PUTztbu */,Not Useful
void VnG7Z = 36;, // K4ypjptc xJH77y Vm,Not Useful
float r3 = 76;,/* rw */ // fG MNZyl O_JUTxe73z y6GT,Not Useful
enum Q0xqEpE = 35;,/* gtGIOB */ // tADqKWqPcu hM314yOgzTA,Not Useful
double xb_AfI = 85;,,Not Useful
case R3LjXj_anr = 62;,"// Usage of Variable in the line of code:
// case R3LjXj_anr = 62;",Useful
int kGPUtnf = 51;,/* VIqT461Ao */,Not Useful
switch XWzrBPBU = 0;,/* FKFfmgN */,Not Useful
signed C0sM1;,"// Explanation of Data in the line of code:
// signed C0sM1;",Useful
unsigned JvbnX = 68;,/* m */ // seHiJRrY2OZ OyTCvmr,Not Useful
short I6JSgA = 42;,/* EeRBp_Gi */,Not Useful
break p3PNoQHEHX;,,Not Useful
auto BH6Xkb08qU = 98;,"// Explanation of Parameter in the line of code:
// auto BH6Xkb08qU = 98;",Useful
int evjN5inZrN_;,/* r_ */,Not Useful
extern xLV5 = 99;,/* dufO1D4pOb */,Not Useful
unsigned Ym;,"// Definition of Data in the line of code:
// unsigned Ym;",Useful
double OT;,/* Xs96rY */,Not Useful
volatile cxj0 = 44;,"// Calculation of Value in the line of code:
// volatile cxj0 = 44;",Useful
goto iE08kc4ry2 = 49;,"// Usage of Variable in the line of code:
// goto iE08kc4ry2 = 49;",Useful
const asDGP;,,Not Useful
for dT2j = 57;,,Not Useful
double KNCOZviy = 78;,"// Usage of Value in the line of code:
// double KNCOZviy = 78;",Useful
double EG5l99Xgd = 61;, // tPeQ hDz8WVlE3Ek X9 iBTL88gid,Not Useful
unsigned YailHK1 = 82;,,Not Useful
else atoLRp;,"// Initialization of Value in the line of code:
// else atoLRp;",Useful
char v;,"// Declaration of Variable in the line of code:
// char v;",Useful
break _7ljyb = 84;,/* holE */,Not Useful
double DSvQ16PvhV;,"// Function of Variable in the line of code:
// double DSvQ16PvhV;",Useful
void BshoPQgd = 60;,"// Definition of Result in the line of code:
// void BshoPQgd = 60;",Useful
return gzkjeuaZZ9;,"// Calculation of Variable in the line of code:
// return gzkjeuaZZ9;",Useful
default h = 99;,,Not Useful
void LHI6c = 12;,/* k5 */,Not Useful
case iZcgEDB95 = 64;, // Vz6Dv X0RuieYbTTZ fW6S r,Not Useful
char bZOdvx80Xt;,,Not Useful
volatile OQ__8O5H = 28;,"// Function of Parameter in the line of code:
// volatile OQ__8O5H = 28;",Useful
else am = 23;,"// Explanation of Result in the line of code:
// else am = 23;",Useful
enum xQLvvL5iW;,"// Declaration of Variable in the line of code:
// enum xQLvvL5iW;",Useful
default Vdge9ex1;, // WX j fQzCtjHb uLV2xm RjMHDMEqfgZ,Not Useful
signed GTq96;,,Not Useful
if le3;,/* rMWO */,Not Useful
const BTOXL6 = 25;,"// Calculation of Variable in the line of code:
// const BTOXL6 = 25;",Useful
volatile vO4p2wD1y = 88;,"// Definition of Data in the line of code:
// volatile vO4p2wD1y = 88;",Useful
extern NQYdkt5 = 20;,/* YLRW */ // mGCIJdbDJ6 edwy3 sM,Not Useful
default Gm24hswx8x;, // PE7 Rl qxQHzQ NAzIDvF3Z wob,Not Useful
double dzW1;,/* pnF */,Not Useful
default sgFS = 82;, // jMFrt ADYn QVmqES L C0o,Not Useful
switch FrG = 8;,/* CbiA */ // MC1vt46Nn vGxbUdq pL6bJGr pqEgxtZkQd eRpIYR9,Not Useful
case y;,"// Explanation of Value in the line of code:
// case y;",Useful
union oU;,"// Usage of Data in the line of code:
// union oU;",Useful
default GHC_z;, // mADUtJ1g0N A79BHb4K2OT Sk ruU rC9,Not Useful
long Zy8;,"// Definition of Variable in the line of code:
// long Zy8;",Useful
double pO9S3vl1;,/* X */,Not Useful
char vGF = 12;,/* kZEVRej */ // R0 pj xSfZtuAKGmK Dmo,Not Useful
union AQh8 = 78;,"// Explanation of Value in the line of code:
// union AQh8 = 78;",Useful
enum ZzXuZZa3 = 20;,"// Function of Parameter in the line of code:
// enum ZzXuZZa3 = 20;",Useful
int P_QdXxUj = 15;,,Not Useful
void QAZ;,"// Initialization of Result in the line of code:
// void QAZ;",Useful
else n_X8b;,,Not Useful
void rUtKeYn1DK;,"// Initialization of Value in the line of code:
// void rUtKeYn1DK;",Useful
long z2si = 93;,/* P */ // WghpT_Tz,Not Useful
break IN9hubxe;, // Ot42Zv fKOE44H3D5 KjF_Bj Ar0,Not Useful
float ceTH6xDyntD = 49;,,Not Useful
float z2AKC6cD2Uz;,/* FM_1 */,Not Useful
do Aun2WgNh0Y;, // oUv8S G0 ympAsNi9JH r,Not Useful
const s;,/* Fn3 */,Not Useful
signed c_Cv = 69;,/* n */,Not Useful
return T;,/* K0TaV */,Not Useful
register B = 16;,"// Initialization of Result in the line of code:
// register B = 16;",Useful
typedef w3oxf = 52;,"// Initialization of Value in the line of code:
// typedef w3oxf = 52;",Useful
else jT3r0loeoB = 97;,"// Usage of Parameter in the line of code:
// else jT3r0loeoB = 97;",Useful
return d = 68;, // GiNvWlf phPcDM8R9R0 xlSMmuJT kamTx3Ej,Not Useful
void PS;,"// Definition of Parameter in the line of code:
// void PS;",Useful
else oGvSBDwIS = 70;,"// Declaration of Variable in the line of code:
// else oGvSBDwIS = 70;",Useful
goto C;,"// Definition of Data in the line of code:
// goto C;",Useful
static Ka3Af53RSvv = 87;,,Not Useful
while Qh = 28;,,Not Useful
static PBnDG;,"// Definition of Parameter in the line of code:
// static PBnDG;",Useful
for JKFRw = 28;,/* IAVibHKmA */ // Z1VL8LEX77q VaBIdkHZkiY,Not Useful
long KduiL3 = 23;,"// Initialization of Parameter in the line of code:
// long KduiL3 = 23;",Useful
char JBvTxW;,/* A9Sa */ // j4xGrAiG tF2LSD6QL0 txy,Not Useful
typedef M6uAmejMiO0;,"// Function of Result in the line of code:
// typedef M6uAmejMiO0;",Useful
break UEVD = 0;,/* sK */ // BBIY IIANPTo dJ,Not Useful
void GL2PQSc9 = 38;,/* cCm0nMv */,Not Useful
extern E = 95;,"// Calculation of Data in the line of code:
// extern E = 95;",Useful
if sS = 19;,,Not Useful
void F59LPCKzuAF = 5;,"// Explanation of Parameter in the line of code:
// void F59LPCKzuAF = 5;",Useful
void q6Nzfv3vYM;,,Not Useful
sizeof knO_28QWP = 100;,"// Usage of Result in the line of code:
// sizeof knO_28QWP = 100;",Useful
unsigned f_v;,"// Function of Value in the line of code:
// unsigned f_v;",Useful
sizeof I2qf9k;,/* VwGCpA */,Not Useful
float ZEi31s8x = 48;,"// Declaration of Parameter in the line of code:
// float ZEi31s8x = 48;",Useful
volatile RIB_fQblX = 88;,/* RWM */,Not Useful
register uNphExr54Li = 95;,"// Explanation of Value in the line of code:
// register uNphExr54Li = 95;",Useful
char ZcQ1xRir4;,,Not Useful
const X = 63;,,Not Useful
continue BCy1O = 72;,"// Initialization of Value in the line of code:
// continue BCy1O = 72;",Useful
long kj1YRoV;,"// Function of Value in the line of code:
// long kj1YRoV;",Useful
goto yMJ3g;,,Not Useful
break vu = 81;,"// Definition of Value in the line of code:
// break vu = 81;",Useful
int e3QYdHF3 = 68;,"// Calculation of Parameter in the line of code:
// int e3QYdHF3 = 68;",Useful
void cTYIiaxv = 83;,"// Initialization of Data in the line of code:
// void cTYIiaxv = 83;",Useful
struct L = 20;,"// Declaration of Parameter in the line of code:
